"REF_pm";"LIB_SECTEUR_ACTIVITE";"LIB_ACTIVITE";"LIB_PRODUIT";"BRANCHE";"LIB_SOUS_BRANCHE";"age_contract";"category";"candidate_product";"Bought";"score";"email"
"101372";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Commerce & Services";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"1";"0.9999999999525758";"ahmed10@gmail.com"
"101372";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Commerce & Services";"MULTIRISQUES PROFESSIONNELLES";"0";"0.1196816162728456";"ahmed10@gmail.com"
"101372";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Commerce & Services";"AUTOMOBILE LEASING";"0";"0.1089574669253592";"ahmed10@gmail.com"
"101372";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Commerce & Services";"INCENDIE COMMERCIAL / LEASING";"0";"0.0943412038104202";"ahmed10@gmail.com"
"101372";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Commerce & Services";"AUTOMOBILE";"0";"0.0";"ahmed10@gmail.com"
"103100";"AGRICULTURE, CHASSE, SERVICES ANNEXES";"CULTURE DE LÉGUMES ; MARAÎCHAGE";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Other";"AUTOMOBILE";"1";"0.999999999955863";"ahmed10@gmail.com"
"103100";"AGRICULTURE, CHASSE, SERVICES ANNEXES";"CULTURE DE LÉGUMES ; MARAÎCHAGE";"AUTOMOBILE AMICALE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Other";"AUTOMOBILE AMICALE";"1";"0.9720863945866322";"ahmed10@gmail.com"
"103100";"AGRICULTURE, CHASSE, SERVICES ANNEXES";"CULTURE DE LÉGUMES ; MARAÎCHAGE";"AUTOMOBILE AMICALE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Other";"RESPONSABILITE CIVILE";"0";"0.1240922833569613";"ahmed10@gmail.com"
"103100";"AGRICULTURE, CHASSE, SERVICES ANNEXES";"CULTURE DE LÉGUMES ; MARAÎCHAGE";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Other";"RESPONSABILITE CIVILE";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"OMNICANAL AUTOMOBILE PACK2";"1";"0.9999999999602386";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"AUTOMOBILE";"1";"0.9998813817550404";"ahmed10@gmail.com"
